County,location_type,gender,education_level,marital_status,adults,financially_excluded,age,is_youth,is_rural_youth
Trans Nzoia,Rural,Female,Completed technical training after secondary school,Widowed,1 adult Household,0,59,0,0
Busia,Rural,Female,Completed technical training after secondary school,Married/Living with partner,>1 adult Household,0,43,0,0
Machakos,Rural,Male,Some primary ,Divorced/separated,1 adult Household,1,72,0,0
Kisumu,Rural,Male,Primary completed,Single/Never Married,>1 adult Household,0,22,1,1
Nyeri,Urban,Male,Primary completed,Married/Living with partner,>1 adult Household,0,36,0,0
Murang'a,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,24,1,0
Nyeri,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,50,0,0
Baringo,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,31,1,1
Migori,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,38,0,0
Nyeri,Rural,Male,Primary completed,Divorced/separated,1 adult Household,0,31,1,1
Kakamega,Rural,Female,None ,Widowed,>1 adult Household,1,62,0,0
Kitui,Rural,Female,Some primary ,Married/Living with partner,>1 adult Household,0,35,1,1
Bomet,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,1,47,0,0
Garissa,Rural,Male,None ,Married/Living with partner,>1 adult Household,1,35,1,1
Kiambu,Urban,Male,Primary completed,Divorced/separated,1 adult Household,0,39,0,0
Nyamira,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,53,0,0
Taita-Taveta,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,26,1,1
Kisii,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,40,0,0
Baringo,Rural,Male,Some technical training after secondary school,Single/Never Married,>1 adult Household,0,22,1,1
Taita-Taveta,Rural,Female,None ,Widowed,>1 adult Household,1,75,0,0
Kirinyaga,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,38,0,0
Homabay,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,35,1,1
Tana River,Rural,Male,Some primary ,Single/Never Married,>1 adult Household,1,23,1,1
Kakamega,Urban,Male,Some primary ,Married/Living with partner,1 adult Household,0,25,1,0
Busia,Rural,Female,Secondary completed ,Married/Living with partner,1 adult Household,0,38,0,0
Baringo,Rural,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,29,1,1
Wajir,Urban,Female,None ,Married/Living with partner,>1 adult Household,0,30,1,0
Homabay,Urban,Female,Some secondary,Single/Never Married,>1 adult Household,0,40,0,0
Nyeri,Rural,Female,Secondary completed ,Single/Never Married,>1 adult Household,0,31,1,1
Tana River,Rural,Female,None ,Single/Never Married,>1 adult Household,1,20,1,1
Narok,Urban,Female,Some primary ,Divorced/separated,1 adult Household,0,38,0,0
Laikipia,Urban,Male,Completed technical training after secondary school,Single/Never Married,1 adult Household,0,33,1,0
Nyeri,Urban,Female,Some secondary,Divorced/separated,1 adult Household,0,58,0,0
Laikipia,Rural,Female,None ,Married/Living with partner,1 adult Household,0,45,0,0
West Pokot,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,31,1,0
Homabay,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,31,1,1
Busia,Urban,Male,Some primary ,Married/Living with partner,>1 adult Household,0,34,1,0
Bungoma,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,64,0,0
Bomet,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,52,0,0
Migori,Rural,Female,Some primary ,Widowed,>1 adult Household,0,69,0,0
Garissa,Rural,Male,None ,Married/Living with partner,>1 adult Household,0,48,0,0
Makueni,Rural,Female,Some primary ,Divorced/separated,>1 adult Household,0,36,0,0
Migori,Rural,Male,Some secondary,Married/Living with partner,>1 adult Household,0,63,0,0
Nyandarua,Rural,Male,Primary completed,Married/Living with partner,>1 adult Household,0,58,0,0
Baringo,Urban,Male,Secondary completed ,Married/Living with partner,>1 adult Household,0,36,0,0
Kiambu,Urban,Female,Secondary completed ,Married/Living with partner,>1 adult Household,0,32,1,0
Bungoma,Rural,Male,Some primary ,Divorced/separated,1 adult Household,1,46,0,0
Marsabit,Urban,Female,Secondary completed ,Married/Living with partner,>1 adult Household,0,45,0,0
Nandi,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,67,0,0
Mandera,Rural,Female,None ,Married/Living with partner,1 adult Household,0,30,1,1
Turkana,Rural,Female,None ,Widowed,>1 adult Household,1,40,0,0
Mandera,Urban,Female,None ,Married/Living with partner,>1 adult Household,0,25,1,0
Wajir,Urban,Male,None ,Married/Living with partner,>1 adult Household,0,42,0,0
Migori,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,35,1,1
Trans Nzoia,Rural,Female,Secondary completed ,Single/Never Married,>1 adult Household,0,21,1,1
Meru,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,41,0,0
Embu,Rural,Female,Secondary completed ,Married/Living with partner,1 adult Household,0,33,1,1
Taita-Taveta,Rural,Male,Primary completed,Married/Living with partner,1 adult Household,0,39,0,0
Kilifi,Urban,Female,Some university,Married/Living with partner,>1 adult Household,0,31,1,0
Busia,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,67,0,0
Turkana,Rural,Female,None ,Married/Living with partner,>1 adult Household,1,27,1,1
Baringo,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,0,85,0,0
Kitui,Rural,Female,Primary completed,Married/Living with partner,1 adult Household,0,30,1,1
Nyamira,Urban,Female,Some secondary,Married/Living with partner,1 adult Household,0,29,1,0
Embu,Rural,Male,Some primary ,Married/Living with partner,>1 adult Household,1,45,0,0
Samburu,Rural,Female,Secondary completed ,Single/Never Married,>1 adult Household,0,26,1,1
Bomet,Rural,Male,Some primary ,Divorced/separated,1 adult Household,0,46,0,0
