column,drop_reason
Serial Number,administrative_or_id
ClusterNo,administrative_or_id
HHNo,administrative_or_id
interview__key,administrative_or_id
interview__id,administrative_or_id
excluded_informal_banked2022,target_engineering
savings_usage,potential_leakage
savings_formal,potential_leakage
savings_informal,potential_leakage
savings_excluded,potential_leakage
loan_usage,potential_leakage
loan_formal,potential_leakage
loan_informal,potential_leakage
loan_formal_2,potential_leakage
loan_mbanking_2,potential_leakage
loan_fuliza_2,potential_leakage
loan_app_2,potential_leakage
savings_mbanking_2,potential_leakage
savings_mmoney_2,potential_leakage
savings_formal2,potential_leakage
tot_saving,potential_leakage
mobile,potential_leakage
bank_usage,potential_leakage
bank_usage1,potential_leakage
bank_usage3,potential_leakage
bank_usage2,potential_leakage
insurance_usage,potential_leakage
insurance_usage2,potential_leakage
insurance_usage1,potential_leakage
pension_usage,potential_leakage
pension_usage_2,potential_leakage
mobile_bank_usage,potential_leakage
mobile_money_usage,potential_leakage
digital_app_loan,potential_leakage
formal_digital_sav,potential_leakage
formal_non_digital_sav,potential_leakage
formal_digital_loan,potential_leakage
formal_non_digital_loan,potential_leakage
tot_formal_digit_loan_sav,potential_leakage
tot_formal_non_digit_loan_sav,potential_leakage
sacco_usage,potential_leakage
formal_prudential,potential_leakage
formal_non_prudential,potential_leakage
formal_registered,potential_leakage
formal,potential_leakage
formal_other,potential_leakage
informal,potential_leakage
Traditional_bank_users,potential_leakage
Commercial_Bank_users,potential_leakage
Post_bank_users,potential_leakage
Digital_credit,potential_leakage
mobile_access,potential_leakage
mobile_own,potential_leakage
formal_service_use,potential_leakage
formal_fullservice_use,potential_leakage
mobile_money_access,potential_leakage
mobile_money_active,potential_leakage
noofloans,potential_leakage
noofloans_new,potential_leakage
currentloan,potential_leakage
defaultloan,potential_leakage
comp_noofloans,potential_leakage
formal_prudential_ever,potential_leakage
formal_non_prudential_ever,potential_leakage
formal_registered_ever,potential_leakage
formal_ever,potential_leakage
formal_other_ever,potential_leakage
informal_ever,potential_leakage
excludedpop_ever,potential_leakage
mobile_bank_usage1,potential_leakage
accessformal,potential_leakage
informal2,potential_leakage
credit_Inst,potential_leakage
On_time_borrowers,potential_leakage
Late_payer_borrowers,potential_leakage
Defaulted_borrowers,potential_leakage
combine_informal,potential_leakage
healthinsurance,potential_leakage
bank_transfer,potential_leakage
mobile_bank_account,potential_leakage
A_mobile_banking_account,potential_leakage
Credit_or_Debit_card,potential_leakage
Money_transfer_service,potential_leakage
International_mobile_transfer,potential_leakage
Borrowing_prevalence,potential_leakage
Borrowing_prevalence2,potential_leakage
Borrowing_prevalence3,potential_leakage
Borrowing_prevalence4,potential_leakage
Formal_digital_credit_only_users,potential_leakage
NotFormal_digital_credit_only_users,potential_leakage
Informal_only_credit_users,potential_leakage
non_Informal_only_credit_users,potential_leakage
Informal_only_credit_users2,potential_leakage
non_Informal_only_credit_users2,potential_leakage
Formal_non_digital_only,potential_leakage
NotFormal_non_digital_only,potential_leakage
all_loans,potential_leakage
Credit_exclusive_users,potential_leakage
Credit_exclusive_users2,potential_leakage
loan_Traditional,potential_leakage
informal_sector,potential_leakage
formal_new2022,potential_leakage
mobileonly_new2022,potential_leakage
excluded_informal_new2022,potential_leakage
allotherformal_banked2022,potential_leakage
formal_banked2022,potential_leakage
excluded_informal_banked2022,potential_leakage
NHIF_health_insurance,potential_leakage
Medical_Insurance_ONLY,potential_leakage
financially_excluded,potential_leakage
